# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
objective_HelpGangActivities	Gängaktiviteter
objective_HelpGangActivities_Description	Gängaktiviteter omfattar allt från att styra över ett gängområde, ta itu med nyckelmedlemmar från rivaliserande fängelsegäng, ställa krav på spelaren och liknande.
objective_HelpGangActivities_child_1	Specialaktiviteter
objective_HelpGangActivities_child_1_Description	Varje gäng deltar i olika specialaktiviteter beroende på deras olika karaktärsdrag. Huggormarna inriktar sig på framställning och försäljning av narkotika, medan Benknäckarna är mer intresserade av att slåss och förstöra och Sjakalerna i första hand ägnar sig åt att styra områden och tjäna pengar.
objective_HelpGangActivities_child_2	Områdesaktiviteter
objective_HelpGangActivities_child_2_Description	Med nya områden kommer nya beteenden. Gängen kommer nu att övervaka och styra i alla områden som de kontrollerar genom att se till att andra interner sköter sig och betalar dem för att kunna använda något föremål inom området, till och med under arbetstid. Gängmedlemmarna kan också lägga vantarna på stora mängder smuggelgods i de olika rum de kontrollerar och deras ”langare” säljer sedan godset vidare till andra interner.
objective_HelpGangActivities_child_3	Gängkrav
objective_HelpGangActivities_child_3_Description	När ett gäng väl har fått tillräckligt med makt och självförtroende kommer de att börja ställa vissa krav. Det kan röra sig om allt från införskaffning av ny utrustning till mer tid på rastgården eller mer fritid. Spelaren har viss tid på sig att uppfylla kravet eller kraven. Om spelaren inte gör det kommer det att medföra konsekvenser, vilka kommer att starta direkt. Normalt börjar det med att gänget genomför någon form av vandalism eller våldsam handling.
objective_HelpCrookedGuards	Korrumperade vakter
objective_HelpCrookedGuards_Description	Även om vi gärna vill tro att vår tappra personalstyrka består av enbart rättskaffens och lojala individer är det tyvärr inte alltid fallet.
objective_HelpCrookedGuards_child_1	Vaktmutor
objective_HelpCrookedGuards_child_1_Description	Standardvakter kan mutas för att överse med viss typ av misskötsel under 48 timmar, genom att låta interner behålla smuggelgods som de hittat och underlätta för gäng att överta områden. Tack vare utnyttjandet av informatörer kan dock misstänkta vakter upptäckas, vilket ger spelaren chansen att avskeda alla vakter som har korrumperats.
objective_HelpCrookedGuards_child_2	Vaktkorruption
objective_HelpCrookedGuards_child_2_Description	Vissa vakter kan bli korrumperade om de vistas i miljöer tillsammans med gängmedlemmar för ofta. De kan då få betalt för att smuggla smuggelgods åt gängen. Informatörer kan markera misstänkta vakter för din räkning. Detektorer och vakthundar kan också hitta smuggelgods så länge vakterna fortfarande bär det på sig.
objective_HelpGangIntelligence	Gängunderrättelseverksamhet
objective_HelpGangIntelligence_Description	Med så många möjliga former av misskötsel inom fängelset är underrättelser alltid av största vikt för att upprätthålla säkerheten. Menyn Gängunderrättelseverksamhet ger information om alla gäng som finns på ditt fängelse. Där står hur många medlemmar varje gäng har, deras ekonomi och det finns även en lista som anger antalet förseelser som de gjort sig skyldiga till under sin tid i fängelset. Där finns även uppgifter om de olika gängens rörelser eller aktiviteter för att hjälpa dig analysera hur farligt varje gäng är.
objective_HelpSecurityOptions	Säkerhetsalternativ
objective_HelpSecurityOptions_Description	En lista med ”viktiga interner” kommer att visas i en ny meny, där alla interner listas som antingen bedöms riskera att skadas av andra interner eller anses utgöra en fara för andra. Med den här menyn kan de interner som bör ges extra uppmärksamhet markeras, så att de lättare kan hållas under uppsikt under spelets gång. Andra åtgärder kan vara att begränsa interners inträde till vissa avdelningar och områden, flytta grupper till särskilda säkerhetsnivåer, eller till och med att flytta problematiska interner till andra anstalter, även om en sådan åtgärd kräver utbetalning av en straffavgift och är mycket kostsam.
objective_HelpPrograms_Description	För att skydda och garantera dina interners säkerhet kan vakterna nu få ny utbildning för att lära sig hur de på ett enkelt sätt kan avväpna interner som bär någon typ av vapen. Internerna kommer också ha tillgång till nya utbildningsprogram. Rekreationsprogrammen kan hjälpa dem i deras reformeringsarbete, men även lugna ner missnöjda interner och hjälpa dem hantera stress. Det finns även rehabiliteringsprogram som hjälper internerna att komma bort från gänglivet, så att de kan slutföra sin strafftid på ett lugnare, fredligare och mer konstruktivt sätt.
objective_grant_positiveEnergyGrant	Positiv energi
objective_grant_positiveEnergyGrant_Description	Gängmedlemmar behöver fokusera sina tankar (och sin energi) på fysisk träning, istället för att utöva våld. Forskning har visat att fysisk träning minskar våldsamt beteende. Installera träningsutrustning på rastgården.
objective_grant_positiveEnergyGrant_bench	Lägg till en tyngdlyftarbänk
objective_grant_advancedProtectionGrant	Avancerat skydd
objective_grant_advancedProtectionGrant_Description	Skydd av personalen är av största vikt när de har att göra med organiserade gäng. Vi måste se till att vår personalstyrka har den allra bästa utbildningen för att kunna garantera deras säkerhet.
objective_grant_advancedProtectionGrant_training	Utbilda 20 vakter så att de blir certifierade i avväpningsmanövrer.
objective_grant_gangWelfareGrant	Gängvälfärd
objective_grant_gangWelfareGrant_Description	Att omvandla Gängkrig till Gängvälfärd är högprioriterat. Gängmedlemmarna har en god chans att kunna reformeras genom att delta i program som hjälper dem att lämna gänglivet för gott.
objective_grant_gangWelfareGrant_exGangMembers	Reformera 15 gängmedlemmar genom att omvandla dem till Avhoppade medlemmar.
objective_grant_exGangProtectionGrant	Skyddsprogram för avhoppade gängmedlemmar
objective_grant_exGangProtectionGrant_Description	Staten erbjuder finansiering för att bygga en särskilt avdelning för skyddat förvar av avhoppade gängmedlemmar som deltar i rehabiliteringsprogram.
objective_grant_protectionCells	Bygg 10 celler i en specialavdelning för skyddade interner
objective_grant_protectionShower	Bygg ett duschrum i en specialavdelning för skyddade interner
objective_grant_protectionCanteen	Bygg en matsal i en specialavdelning för skyddade interner
objective_grant_protectionKitchen	Bygg en rastgård i en specialavdelning för skyddade interner
objective_grant_protectionYard	Bygg en rastgård i en specialavdelning för skyddade interner
objective_grant_protectionGuards	Skicka en vakt till en specialavdelning för skyddade interner
objective_grant_protectionExGang	Flytta 1 avhoppad gängmedlem till säkerhetsnivån Skyddat förvar
grant_category_adminHired	Anställd administratör:
reformprogram_TattooRemovalProgram	Tatueringsborttagningsprogram
reformprogram_TattooRemovalProgram_text	Om dina interner ångrar en gängtatuering som de fått i fängelset kan du underlätta deras rehabilitering genom att erbjuda tatueringsborttagning. Men tänk på att om de väljer att medverka i programmet kommer de att bli måltavlor.
reformprogram_HandToHandCombat	Avväpningscertifikat
reformprogram_HandToHandCombat_text	När något blir extra tufft, blir vi tuffare. Träna dina vakter i avancerade avväpningstekniker som de kan använda mot beväpnade interner.
reformprogram_GangRehabilitation	Gängrehabilitering
reformprogram_GangRehabilitation_text	Om en gängmedlem ställer till med för mycket problem på fängelset kan du försöka få dem att medverka i det här programmet. Det är det första steget till att kapa banden med sitt gäng och starta ett nytt liv. Men om de väljer att medverka i programmet kommer de att bli måltavlor. Remisstyp: Våld och vandalism.
reform_program_intake_ReferralGangViolenceDestruction	Remiss: Endast våldsamma och vandaliserande gäng.
reform_program_intake_GangOnly	Endast gäng
reformprogram_FaithProgram	Program för ökat självförtroende
reformprogram_FaithProgram_text	Interner som deltar i det här intensiva programmet kommer att vara mer villiga att avstå från sina dåliga vanor och bejaka en bättre livsstil. De som genomgått programmet kan mycket väl välja att bryta med sitt gäng.
reformprogram_BreatheProgram	Andningsterapi
reformprogram_BreatheProgram_text	Lär internerna andnings- och avslappningsövningar. Efter varje lektion kommer de att känna sig mycket lugnare och kommer kanske till och med att förbättra sitt beteende.
reformprogram_FightClub	Fajtklubben
reformprogram_FightClub_text	De här träningstillfällena är tänkta att i första hand fokusera internernas negativa energi på boxning i en kontrollerad miljö. Kanske är de för trötta för att slåss efteråt! Vilken var fajtklubbens första regel nu igen?
reform_program_properties_TeacherUsesSameEquipment	Läraren kräver *X
reform_program_properties_GangMemberCanAttend	Gängmedlemmar kan delta
gang_vipers	Huggormarna
gang_bonebreakers	Benknäckarna
gang_jackals	Sjakalerna
gang_red	Rött
gang_blue	Blått
gang_yellow	Avhoppade gängmedlemmar
objective_GangDemand	Gängkrav
objective_GangDemand_description	Dristiga gängledare kommer att ställa olika krav på att höja livskvaliteten i fängelset. Om kraven inte uppfylls kan det leda till upplopp, så se till att ditt fängelse är förberett på att hantera eventuella oroligheter.
GangDemand_announcement	Gängmedlemmar kommer att orsaka stora problem om du inte går med på deras krav.
objective_Gang_ContrabandToolsPunishment_child	*G - Sänk straffet för Hitta verktyg till *X timmar.
objective_Gang_ContrabandToolsPunishment_Escalated_child	*G - Sänk straffet för Hitta verktyg till Inget
objective_Gang_MurderPunishment_child	*G - Sänk straffet för mord till *X timmar.
objective_Gang_MurderPunishment_Escalated_child	*G - Sänk straffet för mord till *X timmar.
objective_Gang_MoreYardTime_child	*G - Öka regimtiden på rastgården till *X timmar.
objective_Gang_MoreYardTime_Escalated_child	*G - Öka regimtiden på rastgården till *X timmar.
objective_Gang_PullUpBars_child	*G - Har *X armhävningsstänger.
objective_Gang_PullUpBars_Escalated_child	*G - Har *X armhävningsstänger.
objective_Gang_TyreApparatus_child	*G - Har *X däckredskap.
objective_Gang_TyreApparatus_Escalated_child	*G - Har *X däckredskap.
objective_Gang_PunchBag_child	*G - Har *X boxningssäckar.
objective_Gang_PunchBag_Escalated_child	*G - Har *X boxningssäckar.
objective_Gang_PushUpStones_child	*G - Har *X armhävningsstenar.
objective_Gang_PushUpStones_Escalated_child	*G - Har *X armhävningsstenar.
objective_Gang_RequireYard_child	*G - Har en *X.
objective_Gang_RequireYard_Escalated_child	*G - Har en *X.
objective_Gang_RequireLibrary_child	*G - Har en *X.
objective_Gang_RequireLibrary_Escalated_child	*G - Har en *X.
objective_Gang_RequireMailRoom_child	*G - Har en *X.
objective_Gang_RequireMailRoom_Escalated_child	*G - Har en *X.
d11_gangdemand_success	Vi har fått pengar för att hantera den här situationen.
d11_gangdemand_fail	Se till att den här situationen inte upprepar sig.
d11_gangCompensation	Gängersättning
d11_gang_goal	Gängmål:
d11_gang_jackals_goal	Fängelsekontroll
d11_gang_traits	Typiska gängkännetecken:
d11_gang_officer	Gängledare:
d11_gang_territories	Områden:
d11_gang_kills	Gängmord:
d11_heatmap_gang	Inblandande gäng:
d11_heatmap_day	Inträffade den (dag):
d11_heatmap_time	Inträffade den (tid):
d11_gang_event_pr.gf	Gängslagsmål
d11_gang_event_g.tc	Områdesförändringar
gangSegregationMessage	Välj vilka gäng som normalt ska ha rätt till inträde till vissa områden.
interfacedeployment_GangSegregation	Gängsegregering
buildtoolbar_deployment_GangSegregation	För att få en viss nivå av kontroll över gängfördelningen kan gängen tilldelas olika vistelseutrymmen så att de kan hållas separerade från varandra för att undvika onödig upptrappning av konflikter.
research_StaffVetting	Personalgranskning
researchtooltip_StaffVetting	Minskar sannolikheten att nya vakter är korrumperade. Låser upp en vaktutredning som gör det möjligt att avslöja korrumperade vakter med hjälp av en informatör.
buildtoolbar_GuardInvestigation	Vaktutredning
buildtoolbar_tooltip_GuardInvestigation	Samarbeta med dina informatörer och säkerhetschefen för att undersöka dina vakter och upptäcka eventuell korruption i leden. Ju mer fria tyglar dina informatörer har, desto fler korrumperade vakter kan ni hitta. Se till att säkerhetschefen inte står värd för ett program eller medverkar vid en avrättning.
buildtoolbar_CI_requirement	Minst en informatör
guardinvestigation_underway	UTREDNING AV VAKT PÅGÅR
guardinvestigation_investigated	*A/*B vakter har utretts
informant_investigating	Utredning pågår
crookedguard_fired_reward	Korrumperade vakter har avskedats
crookedguard_advisor_onboarding	Vi har upptäckt korrumperade vakter som jobbar för ett gäng. Jag har skrivit upp dem under personalfliken i Rapporter. Se till att de får sparken.
buildtoolbar_popup_staff_doghandler	Hundskötare och deras hundmedhjälpare kan upptäcka smuggelgods på interner som går förbi i deras närhet.
buildtoolbar_popup_staff_kimber_doghandler	Hundskötare och deras hundmedhjälpare kan upptäcka smuggelgods på interner och korrumperade vakter som går förbi i deras närhet.
d11_prisoner_replacement	Flytt av interner
d11_prisoner_replacement_tooltip	Fängelsets populationsvärde kommer att fyllas på upp till önskat antal och säkerhetsnivåkvoten kommer att bibehållas, om möjligt. Eventuellt överskott av interner kommer att behandlas enligt standardsystemet
job_cleanupobject	Rengöring *X
interfacetopbar_tension_angrygangmembersgraffiti	+ *X GÄNGMEDLEMMAR ÄR RASANDE (graffiti har tvättats bort)
interfacetopbar_tension_angrygangmembersleadercell	+ *X GÄNGMEDLEMMAR ÄR RASANDE (gängledaren har flyttats till en sämre cell)
research_CCTVImprovement	Förbättringar av kameraövervakningen
researchtooltip_CCTVImprovement	Förbättra användningen av din kameraövervakningsutrustning. De gör det möjligt att granska kamerornas syntriangel och de interner som missköter sig inom övervakningskameroras synfält.
d11_cctv_cone	Övervakningskamerornas syntriangel
d11_toggle_cctv_cone_detail	Växla mellan övervakningskamerornas syntrianglar
d11_left_click_to_clean	Vänsterklicka för att tvätta bort
d11_gang_graffiti_message	Gängen markerar sina områden och blir mer våldsamma när de försvarar dem. När det är säkert att göra det kan du skicka dit en vaktmästare för att ta bort gängklotter. Gängen kommer inte att gilla att deras ”konst” tas bort och de kan i värsta fall ge igen.
d11_gangBulkIntake_advisor_onboarding	Fängelsekommissionen har bestämt att problematiska interner ska flyttas till andra fängelser med mer kompetent ledning. Jag förutsätter att du kan hantera dessa nytillkomna interner utan problem. Fängelsegranskningar kommer från och med nu att genomföras varje vecka.
d11_gangBulkIntake_staffAlert	Intagsbussen med gängmedlemmar anländer snart
d11_gangdealer_advisor_onboarding	Vi har identifierat en langare i ett gängområde. En stor summa pengar har konfiskerats från personen.
d11_CI_advisor_onboarding	Samarbeta med dina informatörer för att upptäckta eventuella korrumperade vakter. De skickas till säkerhetschefens kontor för att lämna den information de har samlat in. Se till att det finns rekryterade informatörer tillgängliga – kolla (?)-ikonen i menyn ”Underrättelser” för mer information.
d11_LeaderAssassination_advisor_onboarding	Gängen börjar bli för aggressiva och planerar att mörda ledaren för det rivaliserande gänget. Om de lyckas kommer det att påverka gränserna för deras nuvarande områden.
d11_GangTargetting_advisor_onboarding	Gängmedlemmar håller ihop eftersom de har liknande intressen. Ibland ogillar de också vissa typer av brott och försöker ge sig på interner som sitter inne för sådana brott.
d11_staffalert_title_making_move	Ett gäng planerar att agera.
d11_staffalert_summary_making_move	Vi har fått information om att ett av gängen planerar att agera.
d11_staffalert_summary_gangdealer	En langare har upptäckts. Du får 500 $ i belöning.
d11_staffalert_summary_TerritoryPlacement	Lokalen har övertagits av ett gäng och har blivit för farligt för våra arbetare. Få internerna att lämna lokalen.
crisisSector_CustomSearchArea	Anpassat sökområde
crisisSector_ScheduleSearch	Anpassat schema
schedulesearch_menu_TargettedArea	Inriktat område
schedulesearch_menu_StartTime	Starttid
schedulesearch_menu_ExistingSchedule	Befintligt schema
schedulesearch_menu_CurrentTime	Aktuell tid
schedulesearch_menu_CurrentFrequency	Aktuell frekvens
crisisSector_UnlockedOnly	Endast upplåsta
schedulesearch_menu_SaveSelection	Spara val
reputation_Recruiter	Rekryterare
reputationtooltip_Recruiter	Den här internen är medlem i ett gäng och är sannolikt mer benägen att locka in andra interner i gänget.
reputationtooltip_Resourceful	Den här internen är mer benägen att tillbringa sin lediga tid med att läsa böcker. De vet sannolikt också var smuggelgods finns och kan välja att samla in det till sitt gäng.
reputation_ExGangMember	Avhoppad gängmedlem
reputationtooltip_ExGangMember	Den här internen bestämde att gänglivet inte passade, men gänget uppskattar inte avhoppet.
reputation_CunninglyBrutal	Listigt brutal
reputationtooltip_CunninglyBrutal	Huggormarna kommer att försöka attackera måltavlor i fängelsets blinda fläckar.
reputation_SneakThief	Långfingrig tjuv
reputationtooltip_SneakThief	Alla Sjakaler kan vara ficktjuvar, oavsett rykte.
reputation_BattleTendency	Slagsmålstendens
reputationtooltip_BattleTendency	Om Sjakalerna har fler medlemmar än det finns vakter på en viss avdelning kommer de att vara mer våldsamma mot personalen där.
reputation_DisrepectSurroundings	Vandal
reputationtooltip_DisrepectSurroundings	Benknäckarna förstör saker när deras behov inte uppfylls.
reputation_UnderCoverDon	Infiltratör
reputationtooltip_UnderCoverDon	Huggormarnas ledare kommer att vara inkognito och ge sken av att vara gängsoldat. Ledaren avslöjas bara i samband med en bestraffning.
reputation_Enforcer	Torped
reputationtooltip_Enforcer	Den här internen hotar alla andra interner, utom de som tillhör samma gäng, och är också väldigt bra på att överta nya områden åt sina gäng.
reputation_GymRat	Gymråtta
reputationtooltip_GymRat	Benknäckarna tillbringar helst sin fritid i ett gym eller på en rastgård.
reputation_Loyal	Lojal
reputationtooltip_Loyal	Det är mer sannolikt att den här internen kommer att stanna i gänget och bli uppretad om gängledaren straffas för något.
traits_violent	Våldsam
traits_lethal	Dödlig(t)
finance_cost_gangdealer	Upptäck gänglangare
object_PrisonerLetter	Interns brev
object_LoveLetter	Kärleksbrev
object_LoveLetterOpened	Kärleksbrev (öppnat)
interface_prisonerWritingLetter	Skriva brev till närstående
interface_prisonerWritingLoveLetter	Skriva brev till en hjärtevän
warden_wardengangsjlocks_name	Kapten J. Locks
warden_wardengangsjlocks_desc	Personalen under Locks ledning klarar av att pressa sig extra och internerna här formas till idealinterner \n\n- +30 % personaluthållighet (kräver 10 % mer vila). \n- -10 % risk att interner återfaller i kriminalitet.
warden_wardengangsjlocks_desc_short	- Personalen är mer uthållig.\n- Interner löper 10 % mindre risk att återfalla i kriminalitet.
warden_wardengangscook_name	Dylan Cook
warden_wardengangscook_desc	Den här killen kan prata omkull vem som helst och kommer att se till att ditt fängelse får de bästa priserna. Visst använder han kuponger i mataffären, var så säker! \n\nMatkostnaderna har minskat med 25 %. \n- Program som kräver lärare utifrån kostar 20 % mindre.
warden_wardengangscook_desc_short	- Matkostnaderna har minskat med 25 %.\n- Program som kräver lärare utifrån kostar 20 % mindre.
rapsheet_manualCellSwap_hint	Välj att enkelt antingen uppgradera eller nedgradera interner genom att flytta dem till nya, tillgängliga celler eller genom att manuellt välja vilka celler de ska flyttas till.
rapsheet_cellUpgrade	Uppgradera cell
rapsheet_cellDowngrade	Nedgradera cell
rapsheet_cellChoice	Välj en ny cell
rapsheet_ChangeCell	Byt cell
ChangeCellUpgradeSuccessful	Du har nu uppgraderat *X till en bättre cell.
ChangeCellDowngradeSuccessful	Du har nu nedgraderat *X till en sämre cell.
ChangeCellNoAvailableRooms	Det finns inga rum tillgängliga som *X kan flyttas till. Vill du använda bytesmenyn för anpassade rum.
ChangeCellDowngradingGangLeader	Du är på väg att flytta en gängledare till en cell av lägre standard. Det kommer att uppröra gängmedlemmarna och kan skapa problem för fängelset.
freeCell_movePrisoner	Högerklicka för att flytta internen till den här cellen.
occupiedCell_movePrisoner	Högerklicka för att byta ut internen mot den intern som just nu finns i cellen.
occupiedCell_selectablePrisoner	Högerklicka för att markera den här internen och för att välja vart du ska flytta personen.
mutator_name_NoMinRoomSize	Rumsstorlek har inte angivits
mutator_tooltip_NoMinRoomSize	Inga fler storlekskrav på rummet! Men du måste fortfarande skaffa de föremål som krävs för att rummet ska fylla sin funktion.
action_GangBusiness	Gängrelaterat ärende
action_GangRecruitment	Gängrekrytering
action_GangPromotion	Avancemang inom gänget
action_ActionHerb	Åverkan
action_LoadBaby	Bär bebis
action_WarmUp	Uppvärmning
action_GetSnack	Hämta tilltugg
action_Drink	Hämta dricka
action_DoPullUps	Armhävningar
action_KneeRaises	Knälyft
action_PushUps	Armhävningar
reform_program_properties_RequiresAllStudentsPresent	Kräver att alla studenter är närvarande
d11_tableClaim_title	Styrs av *G
d11_tableClaim_desc	För att avhysa dem från sina bord kan du antingen flytta eller nedmontera dem.
d11_tableClaim_desc_cont	Det kommer dock att göra dem arga.
schedulesearch_menu_ClearSchedule	Rensa schema

security_menu_default	Välj kategori
interfacemode_water	Vatten
interfacemode_connections	Ledningsnät
interface_rectangle_width	Bredd
interface_rectangle_height	Höjd
interfaceplanning_fence	Staket
buildtoolbar_popup_obj_SofaChairDoubleBrown	En stor, mjuk konstruktion som är bekväm att sitta på. Stor nog för två personer.
rank_title	Grader
rank_officer	Kriminalvårdare
buildtoolbar_popup_room_laundry	Städare och interner som tilldelas tvättning som arbetsuppgift tar alla smutsiga uniformer hit för att rengöra och pressa dem och sedan återdistribuera dem i fängelset.
buildtoolbar_popup_room_visitation	Här kan interner umgås med sina familjer,men håll ett öga på dem! Familjemedlemmar kan använda dessa besök för att smuggla in smuggelgods i fängelset.
buildtoolbar_popup_room_cleaningcupboard	Här förvaras städutrustning. Ett städskåp krävs innan du kan tilldela städjobb till interner.
buildtoolbar_popup_room_armoury	De beväpnade vakterna kommer att vistas i det här rummet när de inte arbetar. Här förvaras alla kulvapen.
buildtoolbar_popup_room_forestry	Här kan träd planteras. Träd kan användas för att tillverka varor i verkstaden som sedan kan säljas.
buildtoolbar_popup_room_classroom	En plats för lärande där interner kan delta i utbildande reformeringsprogram.
buildtoolbar_popup_room_exports	Alla varor som skapas av en arbetare eller en intern samlas här.
buildtoolbar_popup_room_mailroom	Här kan interner hämta post. Alla som arbetar i postrummet är interner.
ageCategory_Young	Ung
ageCategory_Senior	Äldre
ageCategory_Elderly	Åldring
causeofdeath_naturalcauses	Naturliga omständigheter
codex_option_prisonerAging	Internen åldras
codex_tooltip_prisonerAging	När det här alternativet aktiveras kan man se internerna fysiskt åldras och bli mindre rörliga och svagare med åren.
interfacemode_electricity	El
interface_rectangle_cost	Kostnad
scheduler_prisonerandstaff	Interner och personal
codex_option_plotGridCoords_title	Rutnät över tomt/koordinater
codex_plotGrid	Rutnätsöverlägg
codex_plotCoords	Koordinater
codex_plotGridAndCoords	Båda har aktiverats
mutator_name_DailyHearse	Bär ut era döda!
mutator_tooltip_DailyHearse	Likbilar kommer nu att anlända varje dag kl. 20.00. Om de avvisas återvänder de nästa dag.
regime_eatLockdown	Äta/Inlåsning
regime_showerLockdown	Duscha/Inlåsning
regimetooltip_eatLockdown	Internerna måste ta sig till den matsal som de har anvisats för sina måltider, eller använda andra utrymmen inne i matsalen Efter att de har ätit skickas internerna tillbaka till sina celler enligt samma rutiner som vid ”Inlåsning”.
regimetooltip_showerLockdown	Internerna går till duschrummet för att tvätta sig ordentligt och tar sedan på sig en ren uniform, om det finns någon tillgänglig. Efter duschen skickas internerna tillbaka till sina celler enligt samma rutiner som vid ”Inlåsning”.
rooms_AllRooms	Alla rum
object_searchlight	Obemannat sökarljus
buildtoolbar_popup_obj_searchlight	En roterande lampa som lyser nattetid. Hjälper till att få syn på interner som missköter sig i skydd av mörkret.
material_DarkWoodFloor	Mörkt trägolv
buildtoolbar_popup_mat_DarkWoodFloor	Ett robust timmergolv. Perfekt för kontor.
buildtoolbar_popup_obj_BarbedWire	Spets som kan fästas på väggen för att få den att se hotfullare och säkrare ut.
object_SofaChairDoubleBrown	Soffa (brun)
interface_action_rank	Grad
rank_subtitle	Ändra tjänstegrad till:
rank_senior	Erfaren vakt
rank_specialist	Specialistpersonal
rank_popup_text_1	Mer erfarna vakter, kriminalvårdare och specialistpersonal är starkare och svårare att döda, men om de får chansen kommer de att välja lugnare delar av fängelset.\n\n
rank_popup_text_2	Alla vakter måste ha ett intyg för elpistolanvändning för att kunna inleda processen för befordran. Kriminalvårdare måste ha jobbat i fängelset i minst 10 dagar och för specialistpersonal krävs minst 20 dagar.\nAlla blir inte befordrade – bara 4 av 10. Erfarna vakter kan bli kriminalvårdare, men bara 1 av 3 kriminalvårdare kan avancera till specialistpersonal.
finance_cost_gun	Utrustning: pistol
buildtoolbar_popup_room_psychiatristoffice	En avdelning där din psykiater kan diagnostisera kriminellt sinnessjuka. Lås upp och placera fler objekt i psykiaterkontoret för att ge bättre behandling till psykiskt störda interner. Föremål låses upp via psykiskt störda interner som deltar i det Psykiatriska konsultationsprogrammet.
d11_logging_caption	Aktivera Fängelselogg
d11_logging_caption_tooltip	En livelogg över alla viktiga händelser som sker i fängelset, från dödsfall och misskötsel till frigivningar.
d11_logging_header	Fängelselogg
d11_logging_murder	[*T] *X mördade *Y
d11_logging_murder_weapon	[*T] *X mördade *Y med *Z
d11_logging_envriomentalDeath	[*T] *X: *Y
d11_logging_gangTeritory	[*T] *X har inmutat ett nytt område
d11_logging_joinGang	[*T] *X har gått med i *Y
d11_logging_leaveGang	[*T] *X valde att lämna *Y
d11_logging_newLeader	[*T] *X har blivit ny ledare för *Y
d11_logging_leaderKilled	[*T] *Xs ledare har dödats
d11_logging_programPass	[*T] *X har genomfört *Y
d11_logging_prisonerRelease	[*T] *X har blivit frisläppt
d11_logging_prisonerReformed	[*T] *X har reformerats
d11_logging_prisonerReoffended	[*T] *X har begått nya brott och fängslats på nytt
d11_logging_prisonerEscaped	[*T] *X har rymt
d11_logging_misconduct	[*T] *X Misskötsel: *Y
rapsheet_tab_events	Logg över interner
codex_basegamesettings	Grundinställningar
codex_dlcsettings	DLC-inställningar
codex_savepreferences	Spara preferenser
codex_loadpreferences	Ladda preferenser
codex_new_gender	Kön
codex_new_uniformpicker	Uniformväljare
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Magenta
Uniform_Picker_Selection	Väljer du det här alternativet kommer det att ersätta det nuvarande uniformspaketet.
Uniform_Picker_DLCRequired	*X krävs för att låsa upp det här uniformspaketet
uniformPack_Default	Klassisk uniform
uniformPack_Default_desc	Slitstarka uniformer. De ska hålla i minst tio år.
equipment_GarbageBag	Soppåse
equipment_SafetyGoggles	Skyddsglasögon
material_DarkWoodFloor	Mörkt trägolv
buildtoolbar_popup_mat_DarkWoodFloor	Ett robust timmergolv. Perfekt för kontor.
equipment_brick	Tegelsten
equipment_export	Export
mainMenu_upsell	Köp nu!
equipment_crate	Trälår
equipment_logPile	Vedstapel
equipment_box	Låda
equipment_mailUnsorted	Postsäck
equipment_food	Livsmedel
equipment_waterBucket	Vattenhink
dlc_name_qol1	Fri för livet
action_BabySleep	[Baby] Sova
action_BabyPlay	[Baby] Leka
quickbuild_Security	Säkerhet
quickbuild_Parole	Villkorlig frigivning
quickbuild_Kennel	Kennel
interfacecallout_BountyHunters	Ett par prisjägare
object_BountyHunter	Ett par prisjägare
d11_cooldown_hours_DistractionContraption	*X timmar
object_SiberianHusky	Spöke
graph_allTime	All tid
victory_UndeadEscapes_units	RYMNINGAR
d11_logging_gangFight	[*T] *X av *Y var angripare i ett gängslagsmål
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	En rättskaffens man som föregår med gott exempel och inspirerar andra. En före detta präst som är populär bland både de levande och de döda. \n- -15 % sänkning av de odödas gånghastighet \n- +10 % ökad skada på de odöda \n- Ökar värdet på dagsutbetalningarna för säkrade odöda
warden_wardenzombieskeller_desc_short	En rättskaffens man som föregår med gott exempel och inspirerar andra. En före detta präst som är populär bland både de levande och de döda. - -15 % sänkning av de odödas gånghastighet \n- +10 % ökad skada på de odöda \n- Ökar värdet på dagsutbetalningarna för säkrade odöda
object_zombie	Undead
interface_zombieTier	Överlägg över odöda:
status_effect_StatusRunningInFear	Flyr i skräck
status_effect_infected	Smittad
material_TaintedFloor	Förorenat
buildtoolbar_popup_mat_TaintedFloor	Ingenting verkar växa här.
material_FenceWall	Stängsel
buildtoolbar_popup_mat_FenceWall	De här murarna är särskilt kusliga.
material_YellowStraightLineTiles	Betongplattor (rak)
material_YellowCornerLineTiles	Betongplattor (hörn)
buildtoolbar_popup_mat_Rotatable	Roterbar
finances_category_zombiepayments	Utbetalningar för odöda
dlc_name_graveyardShift	Undead
codex_new_theUndead	De odöda!
codex_tooltip_theUndead	Ett epidemiutbrott? Det här är inte något typiskt virus, så låt oss hoppas att du lyckas utrota smittan!\n\nAvktiverad - Låt de döda vila i frid.\n\nLåg - Lätt och hanterbar\n\nMedel - För en lite större utmaning.\n\nHög - Mardrömsläge med mer statistik, högre återupplivningsshastighet. Det är nu även möjligt att ge de odöda förmågan att läka när de angriper försvarslösa grupper.
