# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
objective_HelpCrookedGuards	Corrupte bewakers
objective_HelpCrookedGuards_Description	Hoewel we ons dappere personeel graag als zuiver en onwankelbaar beschouwen, is dat helaas niet altijd het geval.
objective_HelpCrookedGuards_child_1	Omkoping van bewakers
objective_HelpCrookedGuards_child_1_Description	Gewone bewakers kunnen worden omgekocht om 48 uur lang de andere kant op te kijken bij bepaald wangedrag, waardoor gevangenen zelfs hun smokkelwaar behouden als ze worden betrapt en het voor bendes makkelijker wordt om gebieden over te nemen. Gelukkig kan met behulp van informanten worden gewezen op verdachte bewakers, waardoor de speler de kans krijgt om corrupte bewakers te ontslaan.
objective_HelpCrookedGuards_child_2	Corruptie van bewakers
objective_HelpCrookedGuards_child_2_Description	Sommige bewakers kunnen corrupt worden door te veel interactie met bendeleden, waarbij ze betaald worden om smokkelwaar voor bendes binnen te smokkelen. Informanten kunnen verdachte bewakers voor je markeren, terwijl smokkelwaardetectors en waakhonden deze smokkelwaar ook kunnen vinden terwijl de bewakers die bij zich dragen.
objective_HelpGangIntelligence	Bende-inlichtingen
objective_HelpGangIntelligence_Description	Met zoveel potentieel voor wangedrag binnen een gevangenis, is informatie altijd de sleutel tot veiligheid binnen je instelling. Het bende-inlichtingenmenu biedt informatie over elke bende in je gevangenis, met een lijst van het aantal leden, hun fondsen en een lijst van hun wangedrag tijdens hun verblijf in de gevangenis. Het laat ook bewegingen of activiteiten zien waaraan elke bende deelneemt om het gevaarniveau van elke bende weer te geven.
objective_HelpSecurityOptions	Beveiligingsopties
objective_HelpSecurityOptions_Description	Er wordt een lijst van 'belangrijke gevangenen' weergegeven in een nieuw menu, met alle gevangenen die bedreigd worden door anderen of zelf een gevaar zijn voor anderen. Met dit menu kunnen gevangenen gemarkeerd worden die extra aandacht nodig hebben, zodat ze makkelijker te volgen zijn tijdens het spelen, of tijdens andere acties zoals het beperken van de toegang van een gevangene tot bepaalde gebieden, het overplaatsen van groepen naar specifieke beveiligingsniveaus, en zelfs het verwijderen van problematische gevangenen door ze naar een andere faciliteit te sturen, al moet je daarvoor wel een flinke boete betalen.
objective_HelpPrograms_Description	Om je gevangenen te helpen beveiligen en ondersteunen, kunnen bewakers nu een nieuwe training volgen zodat ze gemakkelijk een gevangene kunnen ontwapenen. Gevangenen hebben ook nieuwe programma's tot hun beschikking, met recreatieprogramma's die helpen bij hun hervorming en hen anderszins proberen te kalmeren of hun stress te verlichten. Daarnaast zijn er ook rehabilitatieprogramma's die helpen gevangenen weg te leiden van het bendeleven en hun straf op een vreedzamere en constructievere manier te uit te zitten.
objective_grant_positiveEnergyGrant	Positieve energie
objective_grant_positiveEnergyGrant_Description	Bendeleden moeten hun geest (en hun energie) richten op lichaamsbeweging in plaats van geweld. Onderzoek heeft aangetoond dat lichaamsbeweging dergelijke acties vermindert. Zet buiten in de tuin een fitnessapparaat neer.
objective_grant_positiveEnergyGrant_bench	Voeg een halterbank toe
objective_grant_advancedProtectionGrant	Geavanceerde bescherming
objective_grant_advancedProtectionGrant_Description	De bescherming van personeel is van cruciaal belang bij de aanpak van georganiseerde bendes. We moeten zorgen dat ons personeel optimaal is opgeleid voor hun eigen veiligheid.
objective_grant_advancedProtectionGrant_training	Train 20 bewakers in Ontwapening.
objective_grant_gangWelfareGrant	Bendevoorspoed
objective_grant_gangWelfareGrant_Description	Bendeoorlogen omzetten in bendevoorspoed is een grote prioriteit. Bendeleden maken een goede kans op hervorming als ze programma's volgen waarin ze leren dat leven achter zich te laten.
objective_grant_gangWelfareGrant_exGangMembers	Hervorm 15 bendeleden tot voormalige bendeleden.
objective_grant_exGangProtectionGrant	Beschermingsprogramma voormalige bendeleden
objective_grant_exGangProtectionGrant_Description	De overheid biedt aan om een afzonderingsvleugel te bouwen om voormalige bendeleden te beschermen tijdens hun rehabilitatie.
objective_grant_protectionCells	Bouw 10 cellen in een Alleen beveiligd-sector
objective_grant_protectionShower	Bouw een doucheruimte in een Alleen beveiligd-sector
objective_grant_protectionCanteen	Bouw een kantine in een Alleen beveiligd-sector
objective_grant_protectionKitchen	Bouw een keuken in een Alleen beveiligd-sector
objective_grant_protectionYard	Bouw een luchtplaats in een Alleen beveiligd-sector
objective_grant_protectionGuards	Wijs een bewaker toe aan een Alleen beveiligd-sector
objective_grant_protectionExGang	Wijs 1 voormalig bendelid toe aan het beveiligingsniveau In afzondering
grant_category_adminHired	Administrateur aangenomen:
reformprogram_TattooRemovalProgram	Tatoeageverwijderingsprogramma
reformprogram_TattooRemovalProgram_text	Als je gevangenen spijt hebben van hun bendetatoeages, kun je hun hervorming bevorderen met sessies voor het verwijderen van tatoeages. Als een gevangene dit programma voltooit, wordt deze een doelwit.
reformprogram_HandToHandCombat	Certificaat voor ontwapening
reformprogram_HandToHandCombat_text	Een goede verdediging is de beste aanval. Train je bewakers in gevorderde technieken voor het ontwapenen van je gevangenen.
reformprogram_GangRehabilitation	Bendehervorming
reformprogram_GangRehabilitation_text	Als een bendelid te veel problemen veroorzaakt in de gevangenis, probeer diegene dan dit programma te laten volgen. Het is de eerste stap om de banden met diens bende te verbreken en een nieuwe weg in te slaan. Als de gevangene dit programma voltooit, wordt deze een doelwit. Soort aanleiding: geweld en vandalisme.
reform_program_intake_ReferralGangViolenceDestruction	Aanleiding: alleen geweld- en vandalismebendes
reform_program_intake_GangOnly	Alleen bendes
reformprogram_FaithProgram	Geloofsprogramma
reformprogram_FaithProgram_text	Gevangenen die aan dit intensieve programma deelnemen, zullen eerder bereid zijn hun slechte levensstijl vaarwel te zeggen en een beter leven te omarmen. Als ze dit programma hebben voltooid, willen ze misschien hun banden met hun bende wel verbreken.
reformprogram_BreatheProgram	Ademhalingstherapie
reformprogram_BreatheProgram_text	Leer je gevangenen hoe ze moeten ademen en ontspannen. Na elke les zullen je gevangenen zich een stuk kalmer voelen. Misschien zullen ze zich zelfs beter gaan gedragen.
reformprogram_FightClub	Vechtclub
reformprogram_FightClub_text	Deze trainingssessies geven je gevangenen de mogelijkheid om hun destructieve energie af te reageren in gevechten binnen een gecontroleerde omgeving. Misschien zijn ze na afloop wel te moe om te vechten. Wacht, wat was de eerste regel ook alweer?
reform_program_properties_TeacherUsesSameEquipment	Leraar vereist een *X
reform_program_properties_GangMemberCanAttend	Bendeleden kunnen deelnemen
gang_vipers	De Adders
gang_bonebreakers	De Bottenkrakers
gang_jackals	De Jakhalzen
gang_red	Rood
gang_blue	Blauw
gang_yellow	Voormalige bendeleden
objective_GangDemand	Bende-eisen
objective_GangDemand_description	Bendeleiders die zich aangemoedigd voelen, zullen een aantal eisen stellen om de kwaliteit van het leven in de gevangenis te verbeteren. Als niet aan deze eisen wordt voldaan, kan dat uitlopen op een rel, dus zorg dat je gevangenis hierop is voorbereid.
GangDemand_announcement	Bendeleden zullen veel problemen veroorzaken als we niet aan hun eisen voldoen.
objective_Gang_ContrabandToolsPunishment_child	*G - Verminder de straf voor het vinden van hulpmiddelen naar *X uur.
objective_Gang_ContrabandToolsPunishment_Escalated_child	*G - Verminder de straf voor het vinden van hulpmiddelen naar Geen
objective_Gang_MurderPunishment_child	*G - Verminder de straf voor moord naar *X uur.
objective_Gang_MurderPunishment_Escalated_child	*G - Verminder de straf voor moord naar *X uur.
objective_Gang_MoreYardTime_child	*G - Verhoog de tijd in de luchtplaats naar *X uur.
objective_Gang_MoreYardTime_Escalated_child	*G - Verhoog de tijd in de luchtplaats naar *X uur.
objective_Gang_PullUpBars_child	*G - Zorg dat je *X pull-up-stangen hebt.
objective_Gang_PullUpBars_Escalated_child	*G - Zorg dat je *X pull-up-stangen hebt.
objective_Gang_TyreApparatus_child	*G - Zorg dat je *X bandtoestellen hebt.
objective_Gang_TyreApparatus_Escalated_child	*G - Zorg dat je *X bandtoestellen hebt.
objective_Gang_PunchBag_child	*G - Zorg dat je *X bokszakken hebt.
objective_Gang_PunchBag_Escalated_child	*G - Zorg dat je *X bokszakken hebt.
objective_Gang_PushUpStones_child	*G - Zorg dat je *X push-up-stenen hebt.
objective_Gang_PushUpStones_Escalated_child	*G - Zorg dat je *X push-up-stenen hebt.
objective_Gang_RequireYard_child	*G - Zorg dat je een *X hebt.
objective_Gang_RequireYard_Escalated_child	*G - Zorg dat je een *X hebt.
objective_Gang_RequireLibrary_child	*G - Zorg dat je een *X hebt.
objective_Gang_RequireLibrary_Escalated_child	*G - Zorg dat je een *X hebt.
objective_Gang_RequireMailRoom_child	*G - Zorg dat je een *X hebt.
objective_Gang_RequireMailRoom_Escalated_child	*G - Zorg dat je een *X hebt.
d11_gangdemand_success	We hebben wat geld ontvangen voor het afhandelen van deze situatie.
d11_gangdemand_fail	Zorg dat deze situatie niet nog een keer voorkomt.
d11_gangCompensation	Compensatie voor bende
d11_gang_goal	Bendedoel:
d11_gang_jackals_goal	Gevangeniscontrole
d11_gang_traits	Bende-eigenschappen:
d11_gang_officer	Bendeofficieren:
d11_gang_territories	Territoriums:
d11_gang_kills	Bendemoorden:
d11_heatmap_gang	Betrokken bende:
d11_heatmap_day	Dag van voorval:
d11_heatmap_time	Tijd van voorval:
d11_gang_event_pr.gf	Bendegevecht
d11_gang_event_g.tc	Territoriumwijziging
gangSegregationMessage	Kies welke bendes gewoonlijk toestemming hebben om bepaalde gebieden te betreden.
interfacedeployment_GangSegregation	Bendescheiding
buildtoolbar_deployment_GangSegregation	Om een zekere mate van controle te hebben over de toewijzing van bendes, kunnen bendes worden toegewezen aan verschillende woonruimten, zodat ze uit elkaars buurt kunnen worden gehouden om onnodige aanstoot te voorkomen.
research_StaffVetting	Personeel doorlichten
researchtooltip_StaffVetting	Verkleint de kans dat nieuwe bewakers corrupt worden. Ontgrendelt Bewakersonderzoek, zodat je corrupte bewakers kunt opsporen met behulp van informanten.
buildtoolbar_GuardInvestigation	Bewakersonderzoek
buildtoolbar_tooltip_GuardInvestigation	Werk samen met je informanten en hoofd beveiliging om je bewakers in de gaten te houden en corruptie op te sporen. Hoe meer dekking je actieve informanten hebben, hoe meer corrupte bewakers je zult vinden. Je hoofd beveiliging moet niet bezig zijn met een programma of executie.
buildtoolbar_CI_requirement	Minstens één informant
guardinvestigation_underway	BEWAKERSONDERZOEK AAN DE GANG
guardinvestigation_investigated	*A/*B bewakers onderzocht
informant_investigating	Bezig met onderzoek
crookedguard_fired_reward	Corrupte bewaker ontslagen
crookedguard_advisor_onboarding	We hebben ontdekt dat een corrupte bewaker samenwerkt met een bende. Ik heb diegene gemarkeerd in het tabblad Personeel in je Verslagen. Zorg dat je die bewaker ontslaat.
buildtoolbar_popup_staff_doghandler	Hondentrainers en hun hondenvrienden kunnen smokkelwaar bespeuren op gevangenen in de buurt.
buildtoolbar_popup_staff_kimber_doghandler	Hondentrainers en hun hondenvrienden kunnen smokkelwaar bespeuren op gevangenen en corrupte bewakers in de buurt.
d11_prisoner_replacement	Vervanging gevangene
d11_prisoner_replacement_tooltip	De gevangenenpopulatie zal worden aangevuld tot het gewenste aantal, waarbij de verhouding tussen de beveiligingsniveaus zoveel mogelijk gelijk zal worden gehouden. Een eventueel overschot aan gevangenen zal worden aangevraagd volgens het standaardsysteem
job_cleanupobject	*X schoonmaken
interfacetopbar_tension_angrygangmembersgraffiti	+ *X BENDELEDEN ZIJN BOOS (omdat graffiti wordt verwijderd)
interfacetopbar_tension_angrygangmembersleadercell	+ *X BENDELEDEN ZIJN BOOS (omdat leider naar slechtere cel wordt verplaatst)
research_CCTVImprovement	Verbetering bewakingscamera's
researchtooltip_CCTVImprovement	Verbeter het gebruik van je bewakingscamera's. Stelt je in staat gezichtsvelden van bewakingscamera's te zien, evenals gevangenen die zich misdragen in die gezichtsvelden.
d11_cctv_cone	Gezichtsveld bewakingscamera
d11_toggle_cctv_cone_detail	Zet gezichtsveld bewakingscamera's aan/uit
d11_left_click_to_clean	Klik met links om schoon te maken
d11_gang_graffiti_message	Bendes markeren hun territorium waardoor ze feller zijn bij het verdedigen ervan. Stuur een schoonmaker als het veilig is om de rotzooi op te ruimen. De bendes zullen niet blij zijn dat hun 'kunst' wordt verwijderd - ze kunnen wraak nemen.
d11_gangBulkIntake_advisor_onboarding	De gevangeniscommissie brengt problematische gevangenen over naar andere gevangenissen met beter management. Ik vertrouw erop dat jullie deze nieuwe aanwinsten makkelijk aankunnen. Beoordelingen van gevangenen worden nu wekelijks uitgevoerd.
d11_gangBulkIntake_staffAlert	Er komt een bus met bendeleden aan
d11_gangdealer_advisor_onboarding	We hebben een dealer geïdentificeerd in bendeterritorium. Er is een grote som geld van diegene geconfisqueerd.
d11_CI_advisor_onboarding	Werk samen met je informanten om corrupte bewakers bloot te leggen. Ze worden naar het hoofd beveiliging gestuurd om eventuele informatie te delen. Zorg dat je informanten geworven hebt. Bekijk het ?-pictogram in het inlichtingenmenu voor meer informatie.
d11_LeaderAssassination_advisor_onboarding	Bendes worden te agressief en zijn van plan de leider van een andere bende te vermoorden. Als ze daarin slagen, zal het effect hebben op hun huidige territorium.
d11_GangTargetting_advisor_onboarding	Bendeleden werken samen omdat ze gedeelde interesses hebben. Soms hebben ze ook iets tegen bepaalde misdrijven en zullen ze zich richten op personen die zich daaraan schuldig hebben gemaakt.
d11_staffalert_title_making_move	Bende slaat zijn slag.
d11_staffalert_summary_making_move	We hebben vernomen dat een bende zijn slag gaat slaan.
d11_staffalert_summary_gangdealer	Er is een dealer ontdekt en je hebt $500 ontvangen als beloning
d11_staffalert_summary_TerritoryPlacement	Deze kamer is geclaimd door een bende en is te gevaarlijk voor onze bouwvakkers. Stuur ze de kamer uit.
crisisSector_CustomSearchArea	Aangepast zoekgebied
crisisSector_ScheduleSearch	Aangepast rooster
schedulesearch_menu_TargettedArea	Doelgebied
schedulesearch_menu_StartTime	Begintijd
schedulesearch_menu_ExistingSchedule	Huidige rooster
schedulesearch_menu_CurrentTime	Huidige tijd
schedulesearch_menu_CurrentFrequency	Huidige frequentie
crisisSector_UnlockedOnly	Alleen ontgrendeld
schedulesearch_menu_SaveSelection	Selectie opslaan
reputation_Recruiter	Werver
reputationtooltip_Recruiter	Als deze gevangene deel uitmaakt van een bende, is de kans groter dat andere gevangenen zich bij zijn bende aansluiten.
reputationtooltip_Resourceful	Deze gevangene zal meer tijd besteden aan het lezen van boeken. Ook zal hij weten waar smokkelwaar te vinden is en deze misschien onderscheppen voor zijn bende.
reputation_ExGangMember	Voormalig bendelid
reputationtooltip_ExGangMember	Deze gevangene heeft besloten dat het bendeleven niets voor hem of haar is, maar de bende is hier niet blij mee.
reputation_CunninglyBrutal	Listig en bruut
reputationtooltip_CunninglyBrutal	De Adders zullen proberen doelwitten aan te vallen in blinde hoeken van de beveiliging.
reputation_SneakThief	Dief
reputationtooltip_SneakThief	Alle Jakhalzen kunnen zakkenrollen, ongeacht hun reputatie.
reputation_BattleTendency	Neiging tot vechten
reputationtooltip_BattleTendency	Als er meer Jakhalzen dan bewakers zijn in een vleugel van de gevangenis, zullen ze gewelddadiger zijn jegens het personeel in die vleugel.
reputation_DisrepectSurroundings	Vandaal
reputationtooltip_DisrepectSurroundings	Bottenkrakers zullen voorwerpen beschadigen als er niet aan hun behoeften wordt voldaan.
reputation_UnderCoverDon	Undercoverbaas
reputationtooltip_UnderCoverDon	De leider van de Adders zal zich voordoen als bendesoldaat, en alleen onthuld worden als hij wordt gestraft.
reputation_Enforcer	Handhaver
reputationtooltip_Enforcer	Deze gevangene zal andere gevangenen intimideren, tenzij ze tot dezelfde bende behoren. Ze zijn ook erg goed in het overnemen van territoriums voor bendes.
reputation_GymRat	Fitnessfanaat
reputationtooltip_GymRat	Bottenkrakers zullen hun vrije tijd doorbrengen in een fitnessruimte of luchtplaats.
reputation_Loyal	Trouw
reputationtooltip_Loyal	Deze gevangene zal niet snel uit de bende stappen en zich opwinden als hun bendeleider gestraft wordt.
traits_violent	Gewelddadig
traits_lethal	Dodelijk
finance_cost_gangdealer	Ontmaskerde bendedealer
object_PrisonerLetter	Brief van gevangene
object_LoveLetter	Liefdesbrief
object_LoveLetterOpened	Liefdesbrief (geopend)
interface_prisonerWritingLetter	Schrijft brief naar familie
interface_prisonerWritingLoveLetter	Schrijft brief naar liefje
warden_wardengangsjlocks_name	Kapitein J. Locks
warden_wardengangsjlocks_desc	Personeel onder Locks' bevel is in staat hun grenzen te verleggen en gevangenen worden omgevormd tot modelgevangenen.\n\n- 30% meer uithoudingsvermogen van het personeel (vereist 10% meer rust).\n- 10% minder kans op recidive van gevangenen.
warden_wardengangsjlocks_desc_short	- Personeel heeft meer uithoudingsvermogen.\n- Gevangenen maken 10% minder kans op recidive.
warden_wardengangscook_name	Dylan Cook
warden_wardengangscook_desc	Dit heerschap heeft gladde praatjes en zal de beste prijzen voor je gevangenis weten te krijgen. Reken maar dat hij kortingsbonnen gebruikt in de supermarkt!\n\n- Voedselkosten verlaagd met 25%.\n- Programma's die externe leraren vereisen kosten 20% minder.
warden_wardengangscook_desc_short	- Voedselkosten verlaagd met 25%.\n- Programma's die externe leraren vereisen kosten 20% minder.
rapsheet_manualCellSwap_hint	Kies er simpelweg voor om deze gevangene naar een betere/slechtere cel te verplaatsen, of kies zelf een nieuwe cel.
rapsheet_cellUpgrade	Betere cel
rapsheet_cellDowngrade	Slechtere cel
rapsheet_cellChoice	Nieuwe cel kiezen
rapsheet_ChangeCell	Cel veranderen
ChangeCellUpgradeSuccessful	Je hebt *X gepromoveerd naar een betere cel.
ChangeCellDowngradeSuccessful	Je hebt *X gedegradeerd naar een slechtere cel.
ChangeCellNoAvailableRooms	Er zijn kamers beschikbaar om *X naartoe te verplaatsen. Wil je het ruilmenu voor gepersonaliseerde kamers gebruiken?
ChangeCellDowngradingGangLeader	Je staat op het punt een bendeleider naar een cel van mindere kwaliteit te verplaatsen, wat zijn bende van streek zal maken en problemen in je gevangenis kan veroorzaken.
freeCell_movePrisoner	Klik met rechts om de gevangene naar deze cel te verplaatsen.
occupiedCell_movePrisoner	Klik met rechts om de gevangene te ruilen met de inzittende van deze cel.
occupiedCell_selectablePrisoner	Klik met rechts om de gevangene te selecteren en te kiezen waar je deze naartoe wilt verplaatsen.
mutator_name_NoMinRoomSize	Geen kamerformaat
mutator_tooltip_NoMinRoomSize	Geen vereisten meer voor kamerformaat! Maar je hebt nog steeds de vereiste voorwerpen nodig om de kamer te laten werken.
action_GangBusiness	Doet bendezaken
action_GangRecruitment	Werft bendeleden
action_GangPromotion	Promoot bende
action_ActionHerb	Saboteert
action_LoadBaby	Draagt baby
action_WarmUp	Warmt op
action_GetSnack	Haalt een snack
action_Drink	Haalt een drankje
action_DoPullUps	Doet pull-ups
action_KneeRaises	Doet knie-oefeningen
action_PushUps	Doet push-ups
reform_program_properties_RequiresAllStudentsPresent	Vereist dat alle leerlingen aanwezig zijn
d11_tableClaim_title	Beheerd door *G
d11_tableClaim_desc	Verplaats of ontmantel ze om ze van hun tafels te verwijderen.
d11_tableClaim_desc_cont	Hier zullen ze echter boos van worden.
schedulesearch_menu_ClearSchedule	Rooster leegmaken


security_menu_default	Categorie kiezen
interfacemode_water	Water
interfacemode_connections	Bedrading
interface_rectangle_width	Breedte
interface_rectangle_height	Lengte
interfaceplanning_fence	Hekken
buildtoolbar_popup_obj_SofaChairDoubleBrown	Een groot, zacht meubelstuk waar je lekker op kunt zitten. Geschikt voor twee.
rank_title	Rangen
rank_officer	Agent
buildtoolbar_popup_room_laundry	Conciërges en gevangenen die de was moeten doen, brengen vuile uniformen hierheen, maken ze schoon, persen ze en delen ze opnieuw uit.
buildtoolbar_popup_room_visitation	Waar gevangenen hun familieleden kunnen ontmoeten. Wees gewaarschuwd: families kunnen hun bezoek gebruiken om smokkelwaar de gevangenis in te krijgen.
buildtoolbar_popup_room_cleaningcupboard	Opslag voor schoonmaakvoorzieningen. Een schoonmaakkast is vereist voor we gevangenisarbeiders kunnen inzetten voor schoonmaakwerkzaamheden.
buildtoolbar_popup_room_armoury	Je gewapende bewakers verblijven in deze kamer als ze niet werken. Hier worden alle ballistische wapens bewaard.
buildtoolbar_popup_room_forestry	Een plaats om bomen te kweken. Bomen kunnen gebruikt worden om producten te maken in de werkplaats om te verkopen.
buildtoolbar_popup_room_classroom	Een plaats om te leren, waar gevangenen kunnen deelnemen aan educatieve hervormingsprogramma's.
buildtoolbar_popup_room_exports	Alle spullen die gemaakt worden door arbeiders of gevangenen worden hier verzameld.
buildtoolbar_popup_room_mailroom	Hiermee kunnen je gevangenen post ontvangen. De postkamer wordt ook bemand door gevangenen.
ageCategory_Young	Jong
ageCategory_Senior	Senior
ageCategory_Elderly	Bejaard
causeofdeath_naturalcauses	Natuurlijke oorzaak
codex_option_prisonerAging	Gevangenen die ouder worden
codex_tooltip_prisonerAging	Als je deze optie inschakelt, worden gevangenen door de jaren heen fysiek ouder, waardoor ze minder energiek en zwakker worden dan in hun jeugd.
interfacemode_electricity	Elektrisch
interface_rectangle_cost	Kosten
scheduler_prisonerandstaff	Gevangenen en personeel
codex_option_plotGridCoords_title	Rooster/coördinaten plannen
codex_plotGrid	Rooster-overlay
codex_plotCoords	Coördinaten
codex_plotGridAndCoords	Beide ingeschakeld
mutator_name_DailyHearse	Kom maar op met die lijken!
mutator_tooltip_DailyHearse	Lijkwagens komen nu elke dag langs om 20:00 uur. Als ze worden weggestuurd, komen ze de volgende dag terug.
regime_eatLockdown	Eten/Opsluiting
regime_showerLockdown	Douche/Opsluiting
regimetooltip_eatLockdown	Gevangenen moeten zich naar de aan hen toegewezen kantine begeven om te eten, of gebruikmaken van andere faciliteiten in de kantine. Na het eten mogen de gevangenen hun cel niet verlaten en blijven ze 'Opgesloten'.
regimetooltip_showerLockdown	Gevangenen gaan naar de douches voor een goede wasbeurt en kleden zich dan in een schoon uniform, als er een beschikbaar is. Na het douchen mogen de gevangenen hun cel niet verlaten en blijven ze 'Opgesloten'.
rooms_AllRooms	Alle ruimtes
object_searchlight	Automatisch zoeklicht
buildtoolbar_popup_obj_searchlight	Een draaiende lamp die 's nachts brandt. Helpt je gevangenen te zien die zich vervelend gedragen in het donker.
material_DarkWoodFloor	Donkere houten vloer
buildtoolbar_popup_mat_DarkWoodFloor	Een stevige houten vloer, ideaal voor kantoren.
buildtoolbar_popup_obj_BarbedWire	Een stekelig aanhangsel om je muren er imposanter en veiliger uit te laten zien.
object_SofaChairDoubleBrown	Brede bank (bruin)
interface_action_rank	Rang
rank_subtitle	Rang veranderd naar:
rank_senior	Senior bewakers
rank_specialist	Gespecialiseerde agent
rank_popup_text_1	Senior bewakers, agenten en gespecialiseerde agenten zullen sterker zijn en moeilijker te doden. Als ze echter de kans krijgen, zullen ze prioriteit geven aan de meer rustige gebieden van de gevangenis.\n\n
rank_popup_text_2	Alle bewakers moeten het certificaat voor gebruik van tasers halen om het promotieproces te beginnen. Agenten moeten minstens 10 dagen in de gevangenis hebben doorgebracht, en gespecialiseerde agenten 20 dagen.\nNiet iedereen kan gepromoveerd worden, slechts 4 van de 10 senior bewakers kunnen agent worden en slechts 1 van de 3 agenten kan een gespecialiseerde agent worden.
finance_cost_gun	Uitrusting: Geweer
buildtoolbar_popup_room_psychiatristoffice	Een ruimte waar je psychiater gestoorde criminelen kan onderzoeken. Ontgrendel en plaats extra objecten in het kantoor van de psychiater om de behandeling van gestoorde criminelen te verbeteren. Voorwerpen worden ontgrendeld via gestoorde criminelen die psychiatrische consultatieprogramma's volgen.
d11_logging_caption	Logboek gevangenis inschakelen
d11_logging_caption_tooltip	Een live logboek van alle grote gebeurtenissen die zich voordoen in je gevangenis, van sterfgevallen en wangedrag tot vrijlatingen van gevangenen.
d11_logging_header	Logboek gevangenis
d11_logging_murder	[*T] *X heeft *Y vermoord
d11_logging_murder_weapon	[*T] *X heeft *Y vermoord met *Z
d11_logging_envriomentalDeath	[*T] *X : *Y
d11_logging_gangTeritory	[*T] *X heeft nieuw territorium opgeëist
d11_logging_joinGang	[*T] *X sluit zich aan bij *Y
d11_logging_leaveGang	[*T] *X heeft *Y verlaten
d11_logging_newLeader	[*T] *X is de nieuwe leider van *Y
d11_logging_leaderKilled	[*T] *X-leider is gedood
d11_logging_programPass	[*T] *X heeft *Y gehaald
d11_logging_prisonerRelease	[*T] *X is vrijgelaten uit de gevangenis
d11_logging_prisonerReformed	[*T] *X is hervormd
d11_logging_prisonerReoffended	[*T] *X is weer de fout ingegaan en is terug in de gevangenis
d11_logging_prisonerEscaped	[*T] *X is ontsnapt
d11_logging_misconduct	[*T] *X Wangedrag: *Y
rapsheet_tab_events	Logboek gevangene
codex_basegamesettings	Basisinstellingen
codex_dlcsettings	DLC-instellingen
codex_savepreferences	Voorkeuren opslaan
codex_loadpreferences	Voorkeuren laden
codex_new_gender	Geslacht
codex_new_uniformpicker	Uniformkiezer
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Magenta
Uniform_Picker_Selection	Door deze optie te selecteren wordt de huidige uniformbundel vervangen.
Uniform_Picker_DLCRequired	*X is vereist om deze uniformbundel te ontgrendelen
uniformPack_Default	Klassieke uniformen
uniformPack_Default_desc	Uniformen die lang meegaan. Gegarandeerd langer dan 10 jaar.
equipment_GarbageBag	Afvalzak
equipment_SafetyGoggles	Veiligheidsbril
material_DarkWoodFloor	Donkere houten vloer
buildtoolbar_popup_mat_DarkWoodFloor	Een stevige houten vloer, ideaal voor kantoren.
equipment_brick	Baksteen
equipment_export	Exportgoederen
mainMenu_upsell	Koop nu!
equipment_crate	Kist
equipment_logPile	Houtstapel
equipment_box	Krat
equipment_mailUnsorted	Postzak
equipment_food	Eten
equipment_waterBucket	Wateremmer
dlc_name_qol1	Levenslang vrij
action_BabySleep	[Baby] Slapen
action_BabyPlay	[Baby] Spelen
quickbuild_Security	Beveiliging
quickbuild_Parole	Vrijlating
quickbuild_Kennel	Kennel
interfacecallout_BountyHunters	Een stel premiejagers
object_BountyHunter	Een stel premiejagers
d11_cooldown_hours_DistractionContraption	*X uur
object_SiberianHusky	Geest
graph_allTime	Altijd
victory_UndeadEscapes_units	ONTSNAPPINGEN
d11_logging_gangFight	[*T] *X van *Y was de agressor in een bendegevecht
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	Een goede man die het goede voorbeeld geeft en anderen inspireert. Een voormalig predikant die een hoog aanzien geniet onder de levenden... en de doden. \n- -15% afname van Loopsnelheid ondoden\n- +10% toename van schade aan ondoden \n- Verhoogt de waarde van dagelijkse uitbetalingen voor opgesloten ondoden
warden_wardenzombieskeller_desc_short	- -15% afname van Loopsnelheid ondoden\n- +10% toename van schade aan ondoden \n- Verhoogt de waarde van dagelijkse uitbetalingen voor opgesloten ondoden
object_zombie	Ondode
interface_zombieTier	Ondoden-niveau:
status_effect_StatusRunningInFear	Uit angst aan het vluchten
status_effect_infected	Geïnfecteerd
material_TaintedFloor	Besmeurd
buildtoolbar_popup_mat_TaintedFloor	Hier lijkt niets te groeien.
material_FenceWall	Omheiningsmuur
buildtoolbar_popup_mat_FenceWall	Deze muren zijn nogal griezelig.
material_YellowStraightLineTiles	Betonnen tegels (recht)
material_YellowCornerLineTiles	Betonnen tegels (hoek)
buildtoolbar_popup_mat_Rotatable	Roteerbaar
finances_category_zombiepayments	Ondoden-uitbetalingen
dlc_name_graveyardShift	Ondode
codex_new_theUndead	De Ondoden!
codex_tooltip_theUndead	Een uitbraak? Dit is geen doorsnee virus, laten we hopen dat je dit kwaad met de wortel kunt uitroeien.\n\nUitgeschakeld - Laat de doden rusten.\n\nLaag - Eenvoudig en beheersbaar.\n\nGemiddeld - Voor iets meer uitdaging.\n\nHoog - Nachtmerriemodus met hogere statistieken, spawn-snelheden, en ook hebben ondoden het vermogen om zichzelf te genezen als ze weerloze eenheden aanvallen.
