# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新記錄
objective_HelpCalamities_child_4	鼠災
objective_HelpCalamities_child_4_Description	你的囚犯不會滿意肮髒的監獄環境，但老鼠非常高興。小心它們四處亂竄，老鼠不僅會讓囚犯染病、偷吃倉庫裡的食物，還會咬斷電纜和柵欄。為了防止發生鼠災，請確保監獄始終保持乾淨，並儘快拆除所有老鼠洞。否則你將需要開設害蟲防治課程。
objective_HelpCalamityPrevention	災難預防
objective_HelpCalamityPrevention_Description	我們現已推出全新系統以預報部分災難，建議你多多利用新系統。你可以借此將處於危險之中的人轉移到更安全的區域，並實施計劃以減輕災害影響甚至完全避免重大災難發生。
objective_HelpEmergencyServices	全新緊急服務
objective_HelpEmergencyServices_Description	我們現已推出全新服務，以在需要時為你的監獄提供支援。新服務有助於解決與害蟲、結構和電氣損壞、供水設施相關的問題，還可以對道路進行維護。
objective_HelpCoveragePlans	保險計劃
objective_HelpCoveragePlans_Description	只需按日支付，即可自訂自己的保險計劃來保護監獄。如果監獄面臨任何危險，系統將自動召集相應的應急小組，同時你還享有購買道具和支付員工工資的優惠，以便度過難關。
objective_HelpStafftraining	員工培訓和設備
objective_HelpStafftraining_Description	員工可以學習新技能，以使用專業設備，例如滅火器、砂礫桶和捕鼠器，還能學習如何修理受損電纜。
objective_grant_emergencyProtocols	緊急協議
objective_grant_emergencyProtocols_description	發生緊急情況時，請優先考慮囚犯和員工的安全。你必須讓他們遠離潛在危險，保證其生命安全。
objective_grant_emergencyProtocols_stayIndoor	在災害發生期間啟動 3 次「禁止戶外活動」命令，以保護你的員工和囚犯，避免惡劣天氣的影響。
objective_grant_disasterRelief	賑災
objective_grant_disasterRelief_description	由於近日來惡劣天氣造成的破壞，所有本地企業都可以獲得賑災補助金。
objective_grant_disasterRelief_moneySpent	投資 17,500 美元來升級監獄，以對災難做好準備。
objective_grant_heatwaveGrant	酷暑補助金
objective_grant_heatwaveGrant_description	火災會對所有設施造成危害。我們必須投資消防安全措施以確保員工和囚犯的安全。
objective_grant_heatwaveGrant_training	在消防安全計劃中訓練 10 名員工。
objective_grant_heatwaveGrant_build	打造 30 個滅火器。
objective_grant_advancedStaffTraining	高級員工培訓
objective_grant_advancedStaffTraining_description	為了能在緊急情況下為監獄提供支援，最好讓員工做好萬無一失的準備。
objective_grant_advancedStaffTraining_child	讓 5 名員工完成防寒、害蟲防治或電工培訓。
objective_grant_subsidence	下陷補助金
objective_grant_subsidence_description	利用政府的下陷補助金，修復監獄下沉對牆壁或柵欄造成的損壞。
objective_grant_subsidence_hire	雇用修理工修理受損的牆壁和柵欄。
objective_grant_utilityretrofit	公用事業設施改造補助金
objective_grant_utilityretrofit_description	蟲害可能導致本地企業產值出現嚴重問題。有關部門已向本地企業發放補助金，以保護其公用事業設施的供應。
objective_grant_utilityretrofit_build	建造 50 電纜保護器
calamity_grants_onboarding	近年來，天氣越發失常。這次我們僥倖躲過一劫，但監獄應為所有可能情況做好充分準備。有關部門在惡劣天氣結束後向本地企業發放了補助金。我相信資金到位後你會善加利用。
grant_category_CollapsedWallFence	倒塌的柵欄：
grant_category_HasObject	已有物品：
grant_category_EverHadObject	已有物品：
grant_category_CalamityHappened	災難發生：
action_brewing	正在醞釀
action_electricalsabotaging	正在破壞
job_failed_frozen	持續極寒天氣
weather_DeepFreeze	極寒天氣
weather_LightningStorm	雷雨
weather_any	任意
reformprogram_ElectricianTraining	電工培訓
reformprogram_ElectricianTraining_text	完成該計劃，員工將學會如何處理電線故障。他們會修理所有危險電器。
reformprogram_FirstAidTraining	急救培訓
reformprogram_FirstAidTraining_text	完成該計劃，員工將學會如何在急救站領取裝備並實施急救。急救可以治療輕傷患者並使重症患者傷情穩定下來。
reform_program_intake_Workers	工人專屬
reform_program_intake_PestControlStaff	適用於清潔工、園丁、工人
reformprogram_PestControlTraining	害蟲防治培訓
reformprogram_PestControlTraining_text	完成該計劃，員工將學會如何安裝和清空害蟲防治陷阱。學習如何準備陷阱裝置並隨之安全處理害蟲。
reform_program_intake_GenericStaff	普通員工專屬
reformprogram_FireSafetyTraining	消防安全培訓
reformprogram_FireSafetyTraining_text	完成該計劃，員工將學會如何安全使用滅火器，並會在緊急情況下使用滅火器遏制火災蔓延。
reform_program_intake_Janitors	清潔工專屬
reformprogram_ColdControlTraining	防寒培訓
reformprogram_ColdControlTraining_text	完成該計劃，員工將學會如何處理霜凍區域。他們會清除部分霜凍區域並處理結冰物品。
d11_coverage_title	監獄保險計劃
d11_coverage_design_info	每項計劃都需要按天付費，但可提供自動呼叫緊急服務以便監獄發生不測時需要。你還享有購買計劃內道具和支付相關員工工資的優惠。優惠無法疊加。
d11_coverage_plan_service_unavailable	此計劃暫無可用的緊急服務
ArsonAccidentsPlan	縱火和事故計劃
PreservationPlan	監獄保護計劃
RestorationPlan	監獄修復計劃
HealthSafetyPlan	健康和安全計劃
PestControlPlan	害蟲防治計劃
ArsonAccidentsPlan_hint	除了自動請求緊急服務外，該計劃還提供多項優惠，以降低購買滅火器和警報器的價格、開設消防安全課程的費用以及工人的日薪。
PreservationPlan_hint	除了自動請求緊急服務外，該計劃還提供多項優惠，以降低購買砂礫箱的價格、開設防寒課程的費用以及工人的日薪。
RestorationPlan_hint	除了自動請求緊急服務外，該計劃還提供多項優惠，以降低購買重型電纜和鋼筋的價格、開設電工培訓課程的費用以及工人的日薪。
HealthSafetyPlan_hint	除了自動請求緊急服務外，該計劃還提供多項優惠，以降低購買急救站的價格、開設急救和泰瑟槍培訓課程的費用以及醫生和護理人員的日薪。
PestControlPlan_hint	除了自動請求緊急服務外，該計劃還提供多項優惠，以降低購買捕鼠器和聲波驅蟲器的價格、開設害蟲防治課程的費用以及清潔工和園丁的日薪。
d11_coverage_automatic_emergency_services	自動緊急服務
d11_coverage_squads_requested	已請求小隊援助
d11_coverage_request_condition	請求條件
d11_coverage_injury_condition	受傷狀況
d11_coverage_active_fire_alarms	火災警報
d11_coverage_firefighters	消防員
d11_coverage_reconstruction_specialists	修理工
d11_coverage_structural_damage	*X 處結構損壞
d11_coverage_injured	*X 人受傷
d11_coverage_injured_target	受傷對象
d11_coverage_prisoners_only	僅囚犯
d11_coverage_prisoner_and_staff	囚犯和員工
d11_coverage_rioting	*X 名暴動囚犯
d11_coverage_calamity_surface	*X 塊結冰或融化的路磚
d11_coverage_flooded_area	*X 塊氾濫區
d11_coverage_small_fire	小型火災
d11_coverage_medium_fire	中型火災
d11_coverage_big_fire	大型火災
d11_coverage_rats	*X 隻老鼠
d11_coverage_heat	*X 熱度
d11_coverage_grand_total	總計
adviser_name_foreman	監工
adviser_name_gardener	園丁
adviser_name_Janitor	清潔工
need_name_hydration	水合作用
need_name_staffhydration	水合作用
needs_help_hydration	每個人都需要飲水，尤其是當氣溫炎熱時。保持充足的飲水可以降低中暑風險，但也會增加如廁需求。請在監獄四周放置飲水機，以便囚犯可以在空閒時喝水。
needs_help_staffhydration	每個人都需要飲水，尤其是當氣溫炎熱時。保持充足的飲水可以降低中暑風險，但也會增加如廁需求。員工可在休息期間使用員工休息室的飲水機。
finances_category_coverageplans	監獄保險計劃
reports_visitationpolicytitle	探視政策
reports_visitation_info	調整探視時間：
visitation_title	探視時間
visitation_desc	增加囚犯探視時間將刺激囚犯需求增長，並延長增長量持續時間。探視時間僅限上午 8 點至晚上 8 點。
reports_visitation_primaryerror	目前的制度不允許在此時段進行探視。
reports_visitation_secondaryerror	目前的制度僅允許在此時段進行 *X 次探視。
status_effect_heatstroke	中暑
status_effect_calamityflu	流感
codex_new_weathertype	天氣和強度
codex_tooltip_weathertype	遊戲過程中可能會出現各種天氣模式。若你想體驗更有挑戰性的模式，可以選擇低、中、高強度。若你只想體驗正常天氣，請選擇傳統模式。
codex_new_startingseason	初始季節
codex_tooltip_temperature	保持監獄溫暖舒適。你的囚犯和員工現在感到寒冷。添購一些暖氣，並且不要讓你的監獄過度漏風。
codex_new_weathertype_legacynormal	傳統模式
buildtoolbar_StayIndoors	禁止戶外活動
buildtoolbar_tooltip_StayIndoors	發生災難時，讓所有囚犯和非必要員工盡可能選擇室內活動，從而保證其安全。只有在災難來臨時他們才會聽從該命令。
object_FallenTree	傾倒的樹
object_FallenTreeBig	多棵傾倒的樹
object_roadmaintenancevehicle	維修卡車
interfacecallout_roadmaintenance	道路維護
interface_roadMaintenance_no_grit	維護人員冷卻時間為 12 小時。
event_deep_freeze_vis_sniper_tower	狙擊塔報告稱能見度低。除非天氣變晴朗，否則他們無法準確識別潛在越獄者。
event_deep_freeze_vis_outside_guard	戶外巡邏警衛已多次報告能見度問題。他們似乎無法看清距離較遠的囚犯。
event_lightning_storm_vis_sniper_tower	在這種天氣下，警戒塔上狙擊手的視野會受限。他們的可見距離肯定不如往常。
event_lightning_storm_vis_outside_guard	室外警衛報告稱當前天氣下能見度低，因此請小心有人試圖越獄。
research_NonLethalSniper	非致命狙擊手
researchtooltip_NonLethalSniper	新彈藥可讓狙擊手大展身手，而不必擔心傷及囚犯性命。除非他們接收「自由開火」命令，否則狙擊手只會讓囚犯失去知覺。
material_FieldGrass	草地
buildtoolbar_popup_mat_FieldGrass	雜草叢生的草叢。
material_LaminateFlooringFR	複合地板（防火）
buildtoolbar_popup_mat_LaminateFlooringFR	防火木地板。
material_CarpetFR	地毯（防火）
buildtoolbar_popup_mat_CarpetFR	鋪設舒適的防火地毯，非常適合員工區域。
object_Shiba	柴犬
buildtoolbar_popup_obj_Shiba	年輕但經驗豐富的警犬，喜歡雞肉和奶酪類零食。
object_BlackSetter	黑色塞特犬
buildtoolbar_popup_obj_BlackSetter	喜歡追趕小樹枝和越獄者的獵犬。
object_FernBush	灌木樹籬
buildtoolbar_popup_obj_FernBush	這種灌木喜陰。
object_WillowTree	柳樹
buildtoolbar_popup_obj_WillowTree	這棵樹可以幫忙點綴水域或增添花園的優雅魅力。
dialog_openSurvey	公開調查
object_Ivy	常春藤
buildtoolbar_popup_obj_Ivy	枝葉繁茂的裝飾灌木。
buildtoolbar_popup_uts_Radiator	在監獄各處放置此物，各個房間都會變得溫暖舒適。
equipment_FirstAidBackpack	急救背包
object_GritterDriver	鋪砂車司機
DF_1_advisor	恭喜你成功處理這場災難。由於你優秀的應對能力，你無需支付未來 5 天的相關保險計劃費用。
DF_2_advisor	恭喜你成功處理這場災難。由於你出色的管理能力，你的員工將在未來 3 天內提高工作效率。
DF_3_advisor	恭喜你成功處理這場災難。未來 10 天內你都無需擔心再次發生相同的災難。
LS_1_advisor	恭喜你成功處理這場災難。請注意在近日領取獎勵。
LS_2_advisor	恭喜你成功處理這場災難。由於你優秀的應對能力，你無需支付未來 15 天的相關保險計劃費用。
LS_3_advisor	恭喜你成功處理這場災難。未來 10 天內你都無需擔心再次發生相同的災難。
HW_1_advisor	恭喜你成功處理這場災難。特此獎勵 10,000 美元，請繼續保持良好勢頭。
HW_2_advisor	恭喜你成功處理這場災難。囚犯對你的悉心照料深表感激，並將在未來 5 天內增加需求。
HW_3_advisor	恭喜你成功處理這場災難。未來 20 天內你都無需擔心再次發生相同的災難。
R_1_advisor	恭喜你成功處理這場災難。特此獎勵 10,000 美元，請繼續保持良好勢頭。
R_2_advisor	恭喜你成功處理這場災難。囚犯對你的悉心照料深表感激，並將在未來 3 天內增加需求。
R_3_advisor	恭喜你成功處理這場災難。由於你的辛勤工作，未來 5 天內你的囚犯將受到積極影響。
fallen_tree_advisor	這些樹是哪裡來的？風一定比我們想像的要強。物流很慢，也許我們應該派一些工人來清除這些從天而降的殘骸。
door_swollen_advisor	過高的溫度會使門變形。工人需要給門降溫方可使用。
lightning_strike_advisor	閃電是暴雨期間最危險的存在，物體和人都有被擊中的危險。避雷針將能夠在一定程度上改變閃電的方向，因此請務必購買避雷針以保護監獄及獄中人員。
frozen_ground_advisor	戶外人行道結了厚厚一層冰，清潔工經過相應培訓後即可在路面放置砂礫。
heatwave_fire_advisor	酷暑來襲，我們必須小心放置在戶外的一切植物或木質材料。如果發生火災，我們必須立即控制火勢。
deep_freeze_frozen_shower_head	花灑噴頭很容易結冰，對此我們無能為力。希望運轉正常的淋浴間夠用。
deep_freeze_frozen_sprinkler	寒冷天氣下，監獄的自動噴水滅火裝置可能會結冰，從而危及生命。請確保你的員工接受過充分的消防培訓以防此類事件發生。糟糕的消防安全記錄會破壞監獄的聲譽。
interface_action_EmptyRatTrap	清空
interface_action_CleanPoop	清理
job_grit	在結冰道路上鋪砂礫
dryness_level_1	乾燥
dryness_level_2	非常乾燥
dryness_level_3	極度乾燥
codex_new_ratinfestation	鼠災
status_effect_calamitycold	嚴寒
object_BareTree	樹（光禿禿）
buildtoolbar_popup_obj_BareTree	這棵樹適合裝點所有雪景。
reform_program_intake_ColdControl	適用於清潔工、園丁、工人
reform_program_requirements_general	- 每名參與者都需要接受*X
reform_program_requirements_general_alt	- 每名參與者都需要接受*X或*Y
weathermap_temperature_range_c	範圍：*X°C 至 *Y°C
weathermap_temperature_range_f	範圍：*X°F 至 *Y°F
interfacetopbar_tooltip_orderlies	有 *X 名護理人員
interfacetopbar_tooltip_orderly	監獄中待命的護理人員數量。
object_DoubleStaffDoorBlue	雙開員工門（藍色）
object_DoubleStaffDoorOrange	雙開員工門（橘色）
d11_staffalert_summary_CalamityHeatwave01	這裡是不是變熱了？請確保你的囚犯和植物水分充足
d11_staffalert_details_CalamityHeatwave01	酷暑期間可能會出現一些問題。金屬會變得熱燙，因此請小心所有金屬物體和金屬門。此外，請確保你的囚犯和員工體內保持充足的水分，否則他們可能會變得行動遲緩。
d11_staffalert_hint_CalamityHeatwave01	火災伴隨大風將釀成巨禍，請務必做好預防和準備工作。
buildtoolbar_AutomatedEmergencyService	- 自動化服務
weather_instrument_title	預測工具：
dlc_name_polly	完美風暴
buildtoolbar_stayIndoorsCalamity	災難
buildtoolbar_popup_uts_WeatherMachine	氣象儀提供進階版天氣預報，不僅可以預測天氣持續時間、溫度、降水、風速和能見度等條件，還可預報極端天氣事件並提供倒數計時。
buildtoolbar_popup_obj_DoubleStaffDoorBlue	供员工使用的双开门。
buildtoolbar_popup_obj_DoubleStaffDoorOrange	供员工使用的双开门。
codex_tooltip_startingSeason	選擇初始季節，天氣會隨季節自然變化。
object_AirPestControlHeli	空中害蟲防治
codex_option_default	預設
dlc_name_kimber	幫派
quickbuild_Gymnasium	健身房
boilingpoint_Needs	需求
boilingpoint_ProgramCompletion	課程已完成
boilingpoint_RoomQuality	牢房品質
buildtoolbar_popup_help_BoilingPoint_3	^提示
securitymenu_popup_recentMisconduct	近期不當行為：
securitymenu_PrisonerTypeDefault	預設
securitymenu_PrisonerTypeDangerous	危險分子
rapsheet_assignguard	分配警衛
buildtoolbar_popup_help_securitymenu_4	^提示
objective_HelpPrograms	課程
objective_grant_positiveEnergyGrant_yard	建造庭院
gang_green	綠幫
d11_gang_bonebreakers_goal	損毀公物
d11_gang_misconduct	不當行為：
d11_heatmap_deaths	死亡：
interface_action_CleanGraffiti	清理
schedulesearch_menu_Frequency	頻率
reputation_Resourceful	足智多謀
action_Withdrawal	戒毒
action_ListenToRadio	聽廣播
codex_option_plotType	地塊類型
codex_tooltip_plotType	此選項可產生特定的起始地塊。預設地塊為泥土和雜草，「叢林」地塊類似於茂密的叢林，「冰天雪地」地塊表面由大雪覆蓋，「沙漠」地塊為一片沙地，「月球」地塊類似於月球表面，「島嶼」地塊四面環水，使用船隻碼頭（而非道路）與外界連通；「連接小島」地塊水面環繞，但有橋樑與道路連接。
survey_letter_1	親愛的典獄長，\n\n\n感謝您參與監獄新功能和系統的測試。\n\n作為首席執行長，我的責任是收集所有典獄長的意見，以進一步改善體驗。\n\n如果您能花幾分鐘時間填寫我為您設計的問卷調查，我將不勝感激。\n\n首席執行長\n監獄建築師集團
survey_letter_2	親愛的典獄長，\n\n\n再次感謝您繼續參與監獄新功能和系統的測試。\n\n在投入更多時間測試新功能和系統之後，希望您在本次調查中提供最新反饋。\n\n首席執行長\n監獄建築師集團
object_Beagle	比格犬
buildtoolbar_popup_obj_Beagle	相較於發動進攻而言，獵犬更喜歡吃零食。
object_Doberman	杜賓犬
buildtoolbar_popup_obj_Doberman	杜賓犬是優秀警犬。
object_ChocolateLabrador	巧克力色拉布拉多犬
buildtoolbar_popup_obj_ChocolateLabrador	喜歡結交新朋友，如果新朋友逃跑，那麼樂趣加倍。
object_BlackShepherd	黑色德國牧羊犬
buildtoolbar_popup_obj_BlackShepherd	雖然外形看似可愛，但會撲倒任何膽敢擋路的人。
object_TattooRemovalMachine	紋身去除機
buildtoolbar_popup_obj_TattooRemovalMachine	改造幫派成員的必備物品。去除紋身是改造他們的第一步。
object_MetalStool	金屬凳
buildtoolbar_popup_obj_MetalStool	外觀精緻的小金屬凳。
equipment_TattooRemovalTool	紋身去除工具
room_TheCage	牢籠
buildtoolbar_popup_room_TheCage	為單獨監禁的囚犯提供。此露天設施可供囚犯鍛鍊，同時將使用此設施的囚犯與其他囚犯隔離開來。
quickbuild_TheCage	牢籠
buildtoolbar_quickbuild_TheCage	一件露天設施，可供一名囚犯在其中運動，將他們與其他囚犯隔離開來。
material_CageFence	牢籠柵欄
buildtoolbar_popup_mat_CageFence	一道鐵網圍欄，用於防止運動中的囚犯逃走。
room_TattooRemovalRoom	紋身去除室
buildtoolbar_popup_room_TattooRemovalRoom	囚犯在這裡經歷痛苦、漫長的過程，最終將身上的幫派紋身去除。
quickbuild_TattooRemovalRoom	紋身去除室
buildtoolbar_quickbuild_TattooRemovalRoom	囚犯在這裡經歷痛苦、漫長的過程，最終將身上的幫派紋身去除。
object_PullUpBars	引體向上桿
buildtoolbar_popup_obj_PullUpBars	一件廉價運動器材，深受較為老練的囚犯歡迎。
object_KneeRaise	屈膝舉腿
buildtoolbar_popup_obj_KneeRaise	一件廉價運動器材，深受較為老練的囚犯歡迎。
object_PushUpStones	俯臥撐石
buildtoolbar_popup_obj_PushUpStones	一件廉價運動器材，深受較為老練的囚犯歡迎。
object_GangGraffiti	幫派塗鴉
d11_hover_info_gang_graffiti_1	轄區內幫派成員武力+15%
d11_hover_info_gang_graffiti_2	轄區內幫派成員堅韌+15%
object_FightRing	拳擊場
buildtoolbar_popup_obj_FightRing	如果囚犯能在拳擊場上一決高下，就不會在監獄側翼中鬥毆。\n-滿足運動和娛樂的需要。
quickbuild_FightClubRoom	搏擊俱樂部房間
buildtoolbar_quickbuild_FightClubRoom	無論誰問起，都不要承認此房間的存在。
room_FightClubRoom	搏擊俱樂部房間
buildtoolbar_popup_room_FightClubRoom	無論誰問起，都不要承認此房間的存在。
object_CageGate	牢籠大門
buildtoolbar_popup_obj_CageGate	可以完美搭配圍欄使用的監獄大門，功能和門一樣。
buildtoolbar_popup_obj_RemoteDoor	此門開關透過伺服器系統遙控控制。確保有足夠的警衛控制此類大門的進出，或安裝壓力墊
object_RemoteDoorOrange	遙控門（橘色）
buildtoolbar_popup_obj_RemoteDoorOrange	此門開關透過伺服器系統遙控控制。確保有足夠的警衛控制此類大門的進出，或安裝壓力墊
object_RemoteDoorRed	遙控門（紅色）
buildtoolbar_popup_obj_RemoteDoorRed	此門開關透過伺服器系統遙控控制。確保有足夠的警衛控制此類大門的進出，或安裝壓力墊
object_RemoteDoorYellow	遙控門（黃色）
buildtoolbar_popup_obj_RemoteDoorYellow	此門開關透過伺服器系統遙控控制。確保有足夠的警衛控制此類大門的進出，或安裝壓力墊
object_RemoteDoorWhite	遙控門（白色）
buildtoolbar_popup_obj_RemoteDoorWhite	此門開關透過伺服器系統遙控控制。確保有足夠的警衛控制此類大門的進出，或安裝壓力墊
object_GymInstructor	健身教練
object_FilingCabinetFancy	檔案櫃（豪華）
buildtoolbar_popup_obj_FilingCabinetFancy	給員工豪華檔案櫃以茲獎勵。
material_LongGrass	茂密雜草
codex_tooltip_gangsEnhanced	現在可更改幫派接收監獄囚犯的速度。監獄中幫派成員越多，幫派招募速度就越快，監獄也會變得更加混亂和危險。\n\n傳統模式-體驗之前的幫派難度（適合新手）\n「低強度模式」（預設）-適合新手或中級玩家\n中強度模式-熟練玩家\n高強度模式-渴望高難度挑戰的專家
codex_tooltip_morelieutenants	幹部在各個幫派爭奪新地盤過程中扮演著重要角色。如果你想讓幫派更活躍，考慮減少每個幹部所需的成員數量。如果想挑戰一下自己，可以將數值設定為6以下。
codex_option_morelieutenants	更多幹部
codex_tooltip_codex_option_morelieutenants	幹部在各個幫派爭奪新地盤過程中扮演著重要角色。如果你想讓幫派更活躍，考慮減少每個幹部所需的成員數量。如果想挑戰一下自己，可以將數值設定為6以下。
codex_option_GangSpecialReputations	幫派特別聲譽
codex_tooltip_GangSpecialReputations	幫派被賦予新的聲譽，並會據此改變其成員在監獄裡的行為方式。
codex_option_AllDogs	所有警犬
codex_tooltip_AllDogs	選擇此選項將啟用所有可用警犬並在每次聘用時隨機選擇。
codex_tooltip_RandomWardens	選擇此選項將隨機為你選擇一名典獄長。
interfacecontraband_BoilingPoint	爆發點
buildtoolbar_contraband_BoilingPoint	顯示不滿囚犯可改進的地方。
boilingpoint_header	爆發點
boilingpoint_OverallTemperature	整體氛圍
boilingpoint_StatusEffects	狀態效果
boilingpoint_OverallTemperature_popup	在確保囚犯開心和保持冷靜這件事上，有些東西我們無法掌控，比如囚犯的個性，以及他們背負罪名的數量。囚犯越是憤怒，監獄氛圍就越緊張，而且他們不守規矩的可能性也更大。
boilingpoint_Needs_popup	目前你有*X名囚犯需求得不到滿足。\n\n請確保他們能夠進入房間或拿取物品，以滿足他們的需求。
boilingpoint_ProgramCompletion_popup	目前你有*X名囚犯尚未完成任何課程。\n\n囚犯完成課程數量越多，他們越有可能保持冷靜。增加一些制度允許囚犯參加範圍內的課程。某些課程可重複進行。
boilingpoint_StatusEffects_popup	目前你有*X名囚犯受負面效果影響。\n\n建議加大對違禁品的稽查力度，特別是酒精和麻醉品。\n\n囚犯受正面效果影響時，不守規矩的可能性會降低。
boilingpoint_RoomQuality_popup	目前你有*X名囚犯關押在條件較差的牢房。\n\n提升牢房品質能讓他們更開心和冷靜。某些囚犯沒有資格入住高品質牢房，可以使用「刑期調整」來降低要求。
buildtoolbar_popup_help_BoilingPoint_1	爆發點視圖會顯示目前監獄氛圍。此選單會反白顯示監獄中有問題部分，如牢房品質、需求、狀態效果，以及課程參與水準。\n\n
buildtoolbar_popup_help_BoilingPoint_2	~如果某個囚犯始終不服管教，建議把他關進禁閉室或單獨監禁，好讓他們冷靜下來。\n\n
buildtoolbar_popup_help_BoilingPoint_4	-確保所有囚犯基本需求都能得到滿足。
buildtoolbar_popup_help_BoilingPoint_5	-投資改造、治療、醫療和工作課程，並確保囚犯的體制允許他們參與其中。
buildtoolbar_popup_help_BoilingPoint_6	-輕刑犯容忍度更高，因為他們的刑期較短。
boilingpoint_advisor_onboarding	這名囚犯正在鬧事，他似乎已經到了爆發點。或許我們做的還不夠，沒有確保囚犯的需求得到滿足，沒能改善他們的生活條件，也沒能給他們安排事情做。查看爆發點情報選單獲取更多資訊。
interfacecontraband_SecurityMenu	保全選單
buildtoolbar_contraband_SecurityMenu	查看被視為危險分子或有人身危險的囚犯清單，對任何需要進一步管理的囚犯實施保全措施。
securitymenu_header	保全選單
securitymenu_popup_prisonerSelect	點選左鍵選擇囚犯
securitymenu_popup_dangerousReputations	危險聲譽：
securitymenu_popup_dangerousTraits	危險特徵：
securitymenu_popup_crimesCommitted	罪行：
securitymenu_PrisonerType	囚犯類型：
securitymenu_PrisonerTypeVulnerable	有人身危險
securitymenu_MarkingTypeUnmarked	未標記
securitymenu_SelectArea	選擇區域
securitymenu_SelectAreaCancel	取消選擇區域
securitymenu_RestrictAccess	限制進入：
securitymenu_TransferPrisoners	轉移囚犯：
securitymenu_transferSecurityLevel	保全級別
securitymenu_GuardAssignment	警衛分配：
securitymenu_MarkPrisoner	標記囚犯：
securitymenu_RemovePrisoner	遣送囚犯：
securitymenu_RemovePrisonerButton	遣送囚犯
securitymenu_RemovedPrisoner	已遣送囚犯
securitymenu_RemovePrisoner_message	遣送囚犯\n\n這是對付冥頑不化囚犯的最後手段，你可以花一大筆錢把這名囚犯送去另一所監獄。該操作每5天可進行一次。
securitymenu_RestrictAccess_tooltip	封鎖特定區域的入口，選定囚犯只有在警衛看管的情況下才能進入。不能限制幫派成員進入自己的轄區。
securitymenu_TransferPrisoner_tooltip	將選定囚犯轉移至特定保全系統以便於管控。
securitymenu_MarkPrisoner_tooltip	為選定的囚犯增加視覺標記，方便監控危險分子，以及有人身危險的囚犯。
rapsheet_assignguard_end	取消分配警衛
job_PrisonerAssignment	囚犯分配
assignment_confirm_message	是否要分配一名警衛？
assignment_description_message	如果想要盯緊這名囚犯，建議分配一名警衛看管。請務必確保警衛人數充足。
assignment_error_message	目前無法分配警衛對此囚犯進行看管，請稍後再試。\n\n囚犯為剛抵達，在牢房或禁閉狀態。
buildtoolbar_popup_help_securitymenu_1	保全選單列出了監獄中所有被視為危險分子或有人身危險的囚犯。透過此選單，你可以對囚犯採取某些行動以提供進一步的支援，並使這些囚犯得到更好的管理。\n\n
buildtoolbar_popup_help_securitymenu_2	~預設情況下，危險分子和有人身危險的囚犯會同時列出，但你可以透過「囚犯類型」選項對特定群體採取行動。\n\n
buildtoolbar_popup_help_securitymenu_3	~有些行動可以應用在群體身上，而某些只能應用到選定的個人，反白顯示並以左鍵點選囚犯來進行選擇。\n\n
buildtoolbar_popup_help_securitymenu_5	-警衛分配選項既有助於確保囚犯的安全，也可以同時監控其他人，防止不當行為發生。警衛不會在囚犯的私人時間待在他們身邊，比如睡覺和洗澡的時候。
buildtoolbar_popup_help_securitymenu_6	-如果你監獄中的某些囚犯經常惹事，並且難以管束，可透過「遣送囚犯」選項把他們送走。此行動有冷卻時間，不能每天執行，同時需要耗費一定的金錢。
objectiveWindow_FilterButton_4_title	「幫派」簡介
objectiveWindow_FilterButton_4_tooltip	關於幫派的一切
objective_HelpGangBehaviourAndType	幫派行為
objective_HelpGangBehaviourAndType_Description	引入新幫派，每個幫派行為方式都略有不同。
objective_HelpGangBehaviourAndType_child_1	毒蛇幫
objective_HelpGangBehaviourAndType_child_1_Description	毒蛇幫都是一群陰險狡詐之徒，利用對毒品的控制權毒害其他囚犯，幫派成員本身也都非常狠毒。
objective_HelpGangBehaviourAndType_child_2	碎骨幫
objective_HelpGangBehaviourAndType_child_2_Description	碎骨幫是一群肌肉發達的暴徒，主要從事暴力和破壞活動，在其他方面鮮有涉足。
objective_HelpGangBehaviourAndType_child_3	豺狼幫
objective_HelpGangBehaviourAndType_child_3_Description	豺狼幫足智多謀，主要關注轄區控制和違禁品銷售，以提升自身經濟實力。
objective_HelpGangActivities	幫派活動
objective_HelpGangActivities_Description	幫派活動包括經營和管理自己的轄區，恭維監獄關鍵成員，對玩家提出要求，以及類似的行動。
objective_HelpGangActivities_child_1	特殊活動
objective_HelpGangActivities_child_1_Description	每個幫派都會根據各自特點舉辦特殊活動，毒蛇幫主要從事毒品生產和銷售，碎骨幫善於鬥毆和破壞，豺狼幫主要關注搶佔更多轄區和賺錢。
objective_HelpGangActivities_child_2	轄區活動
objective_HelpGangActivities_child_2_Description	新轄區會帶來新活動。幫派會「管理」他們控制的區域，確保其他囚犯守規矩，在使用區域內任何設施支付現金，即使在工作時間也不例外。幫派成員還會在其控制的房間內藏匿大量違禁品，而「貿易商」負責將這些物品賣給其他囚犯。
objective_HelpGangActivities_child_3	幫派需求
objective_HelpGangActivities_child_3_Description	當幫派在監獄中獲得足夠大的勢力和威望後，他們就會開始提出特定的要求，包括添置新設施、增加庭院和自由活動時間等，玩家有一定的時間來滿足這些要求。如果玩家未能滿足要求，抗議就會接連不斷，幫派成員往往會四處破壞或實施暴力活動。
objective_HelpCrookedGuards	腐敗警衛
